date,lme_cash_usd_per_tonne,lme_cash_usd_per_lb
2021-02-24,9286.0,4.212063757019351
2021-02-25,9614.5,4.361069027768958
2021-02-26,9172.5,4.160580961798406
2021-03-01,9198.0,4.172147580989014
2021-03-02,9213.5,4.1791782710852665
2021-03-03,9266.0,4.202991898830637
2021-03-04,8786.5,3.9854940987562486
2021-03-05,9021.5,4.0920884324736235
2021-03-08,8992.5,4.07893423809999
2021-03-09,8895.0,4.034708929430015
2021-03-10,8939.0,4.054667017445183
2021-03-11,9062.5,4.110685741760485
2021-03-12,9052.5,4.106149812666128
2021-03-15,9147.5,4.149241139062514
2021-03-16,8965.5,4.066687229545228
2021-03-17,9027.0,4.09458319347552
2021-03-18,9090.0,4.123159546769965
2021-03-19,9036.0,4.09866552966044
2021-03-22,9097.5,4.126561493590732
2021-03-23,9016.5,4.089820467926446
2021-03-24,9016.0,4.089593671471728
2021-03-25,8781.0,3.9829993377543524
2021-03-26,8929.0,4.0501310883508275
2021-03-29,8942.5,4.056254592628208
2021-03-30,8788.5,3.9864012845751198
2021-03-31,8850.5,4.01452404496013
2021-04-01,8768.0,3.977102629931689
2021-04-06,8984.5,4.075305494824505
2021-04-07,8981.5,4.073944716096198
2021-04-08,9001.5,4.083016574284911
2021-04-09,8993.0,4.0791610345547085
2021-04-12,8901.0,4.037430486886629
2021-04-13,8904.0,4.038791265614936
2021-04-14,9011.0,4.08732570692455
2021-04-15,9187.5,4.1673848554399395
2021-04-16,9336.0,4.234743402491133
2021-04-19,9415.0,4.270577242336548
2021-04-20,9396.5,4.262185773511988
2021-04-21,9382.5,4.255835472779889
2021-04-22,9475.5,4.298019613357404
2021-04-23,9545.5,4.329771117017899
2021-04-26,9758.0,4.426159610272973
2021-04-27,9898.5,4.48988941404868
2021-04-28,9832.5,4.459952282025927
2021-04-29,9990.0,4.531393165262041
2021-04-30,9949.0,4.512795855975179
2021-05-04,9961.0,4.518238970888407
2021-05-05,9991.5,4.532073554626194
2021-05-06,10025.5,4.547495713547006
2021-05-07,10361.0,4.699676134662663
2021-05-10,10724.5,4.864557157242518
2021-05-11,10528.0,4.775426150538415
2021-05-12,10537.0,4.779508486723336
2021-05-13,10253.5,4.650914896898332
2021-05-14,10212.0,4.632090791156753
2021-05-17,10257.0,4.652502472081356
2021-05-18,10465.0,4.74684979724397
2021-05-19,10114.5,4.587865482486778
2021-05-20,10086.0,4.574938084567862
2021-05-21,10011.0,4.540918616360189
2021-05-24,9868.0,4.4760548303108925
2021-05-25,9943.0,4.510074298518566
2021-05-26,9965.0,4.5200533425261495
2021-05-27,10032.5,4.550670863913056
2021-05-28,10159.5,4.6082771634113815
2021-06-01,10212.5,4.632317587611471
2021-06-02,10117.5,4.589226261215085
2021-06-03,9967.0,4.520960528345021
2021-06-04,9852.0,4.468797343759922
2021-06-07,9848.0,4.46698297212218
2021-06-08,9878.5,4.480817555859967
2021-06-09,9877.0,4.480137166495814
2021-06-10,9808.5,4.4490660521994725
2021-06-11,10029.0,4.5490832887300305
2021-06-14,9900.0,4.490569803412833
2021-06-15,9552.5,4.3329462673839485
2021-06-16,9508.0,4.312761382914062
2021-06-17,9427.5,4.276247153704493
2021-06-18,9206.0,4.1757763242645
2021-06-21,9042.5,4.101613883571773
2021-06-22,9190.5,4.168745634168247
2021-06-23,9289.5,4.213651332202375
2021-06-24,9390.5,4.259464216055375
2021-06-25,9432.5,4.278515118251672
2021-06-28,9333.5,4.233609420217543
2021-06-29,9225.5,4.184621385998494
2021-06-30,9385.0,4.256969455053479
2021-07-01,9342.0,4.237464959947746
2021-07-02,9296.5,4.2168264825684245
2021-07-05,9432.0,4.278288321796954
2021-07-06,9528.0,4.321833241102775
2021-07-07,9451.5,4.287133383530949
2021-07-08,9264.5,4.202311509466484
2021-07-09,9437.5,4.28078308279885
2021-07-12,9347.0,4.239732924494924
2021-07-13,9310.0,4.222949986845806
2021-07-14,9309.0,4.22249639393637
2021-07-15,9347.0,4.239732924494924
2021-07-16,9396.5,4.262185773511988
2021-07-19,9264.5,4.202311509466484
2021-07-20,9211.0,4.1780442888116776
2021-07-21,9271.5,4.205486659832534
2021-07-22,9382.5,4.255835472779889
2021-07-23,9433.5,4.278968711161108
2021-07-26,9580.0,4.345420072393429
2021-07-27,9709.0,4.4039335577106264
2021-07-28,9697.0,4.3984904427973985
2021-07-29,9781.0,4.436592247189992
2021-07-30,9747.5,4.421396884723898
2021-08-02,9737.0,4.416634159174824
2021-08-03,9583.5,4.347007647576453
2021-08-04,9503.0,4.310493418366884
2021-08-05,9429.0,4.276927543068647
2021-08-06,9529.5,4.322513630466929
2021-08-09,9311.5,4.223630376209959
2021-08-10,9409.5,4.268082481334652
2021-08-11,9421.0,4.273298799793162
2021-08-12,9508.5,4.31298817936878
2021-08-13,9429.5,4.277154339523364
2021-08-16,9377.0,4.2533407117779936
2021-08-17,9346.5,4.239506128040206
2021-08-18,9148.5,4.14969473197195
2021-08-19,8775.5,3.9805045767524563
2021-08-20,8922.0,4.0469559379847775
2021-08-23,9237.0,4.1898377044570045
2021-08-24,9316.5,4.225898340757137
2021-08-25,9378.5,4.254021101142147
2021-08-26,9323.0,4.228846694668469
2021-08-27,9352.0,4.242000889042103
2021-08-31,9462.5,4.2921229055347405
2021-09-01,9312.0,4.223857172664677
2021-09-02,9347.0,4.239732924494924
2021-09-03,9361.0,4.246083225227023
2021-09-06,9401.5,4.264453738059167
2021-09-07,9325.0,4.2297538804873405
2021-09-08,9256.0,4.1984559697362815
2021-09-09,9356.5,4.244042057134563
2021-09-10,9515.0,4.315936533280112
2021-09-13,9627.0,4.366738939136904
2021-09-14,9407.0,4.266948499061063
2021-09-15,9488.5,4.3039163211800675
2021-09-16,9392.0,4.260144605419528
2021-09-17,9435.5,4.279875896979979
2021-09-20,9145.5,4.148333953243643
2021-09-21,9106.0,4.130417033320935
2021-09-22,9255.0,4.198002376826846
2021-09-23,9252.0,4.196641598098538
2021-09-24,9275.0,4.2070742350155585
2021-09-27,9341.0,4.237011367038311
2021-09-28,9263.0,4.201631120102331
2021-09-29,9227.0,4.185301775362648
2021-09-30,9041.0,4.100933494207618
2021-10-01,9113.0,4.133592183686985
2021-10-04,9267.5,4.203672288194791
2021-10-05,9091.5,4.123839936134119
2021-10-06,9096.0,4.125881104226579
2021-10-07,9177.0,4.162622129890866
2021-10-08,9246.0,4.193920040641925
2021-10-11,9527.0,4.321379648193339
2021-10-12,9585.0,4.347688036940607
2021-10-13,9661.0,4.382161098057716
2021-10-14,9971.0,4.522774899982764
2021-10-15,10555.0,4.787673159093178
2021-10-18,10500.0,4.762725549074217
2021-10-19,10652.0,4.831671671308435
2021-10-20,10161.0,4.608957552775535
2021-10-21,10051.0,4.559062332737615
2021-10-22,9992.0,4.532300351080912
2021-10-25,10050.0,4.55860873982818
2021-10-26,9988.0,4.53048597944317
2021-10-27,9849.5,4.467663361486333
2021-10-28,9860.0,4.472426087035408
2021-10-29,9955.0,4.515517413431794
2021-11-01,9875.0,4.4792299806769424
2021-11-02,9817.0,4.452921591929675
2021-11-03,9825.0,4.4565503352051605
2021-11-04,9785.0,4.4384066188277345
2021-11-05,9740.0,4.417994937903131
2021-11-08,9885.0,4.483765909771298
2021-11-09,10002.0,4.536836280175269
2021-11-10,9791.0,4.441128176284349
2021-11-11,9850.0,4.467890157941051
2021-11-12,9854.5,4.469931326033512
2021-11-15,9845.0,4.465622193393873
2021-11-16,9680.0,4.390779363336993
2021-11-17,9495.0,4.306864675091399
2021-11-18,9450.0,4.286452994166796
2021-11-19,9620.5,4.363790585225572
2021-11-22,9730.0,4.413459008808775
2021-11-23,9825.5,4.456777131659878
2021-11-24,9852.0,4.468797343759922
2021-11-25,9932.0,4.5050847765147735
2021-11-26,9630.0,4.368099717865211
2021-11-29,9751.0,4.422984459906923
2021-11-30,9605.0,4.356759895129319
2021-12-01,9571.0,4.341337736208508
2021-12-02,9520.0,4.31820449782729
2021-12-03,9513.0,4.315029347461241
2021-12-06,9526.0,4.320926055283904
2021-12-07,9647.0,4.375810797325617
2021-12-08,9555.5,4.334307046112255
2021-12-09,9578.0,4.344512886574558
2021-12-10,9543.0,4.3286371347443096
2021-12-13,9500.0,4.309132639638578
2021-12-14,9485.0,4.302328745997043
2021-12-15,9290.0,4.213878128657093
2021-12-16,9506.0,4.311854197095191
2021-12-17,9520.0,4.31820449782729
2021-12-20,9406.0,4.266494906151627
2021-12-21,9521.0,4.318658090736726
2021-12-22,9625.0,4.365831753318032
2021-12-23,9606.0,4.357213488038755
2021-12-24,9582.0,4.3463272582123
2021-12-29,9655.0,4.379439540601101
2021-12-30,9715.0,4.40665511516724
2021-12-31,9692.0,4.396222478250221
2022-01-04,9660.0,4.38170750514828
2022-01-05,9778.0,4.435231468461685
2022-01-06,9565.0,4.338616178751894
2022-01-07,9615.0,4.361295824223676
2022-01-10,9665.0,4.383975469695458
2022-01-11,9662.0,4.382614690967151
2022-01-12,9945.0,4.510981484337437
2022-01-13,9972.0,4.5232284928921995
2022-01-14,9900.0,4.490569803412833
2022-01-17,9674.5,4.388284602335096
2022-01-18,9707.0,4.403026371891754
2022-01-19,9801.0,4.445664105378705
2022-01-20,9925.0,4.501909626148724
2022-01-21,9970.0,4.522321307073328
2022-01-24,9800.0,4.445210512469269
2022-01-25,9744.0,4.419809309540874
2022-01-26,9965.0,4.5200533425261495
2022-01-27,9872.0,4.477869201948636
2022-01-28,9678.0,4.3898721775181215
2022-01-31,9620.0,4.363563788770854
2022-02-01,9701.0,4.400304814435141
2022-02-02,9880.0,4.48149794522412
2022-02-03,9785.0,4.4384066188277345
2022-02-04,9875.0,4.4792299806769424
2022-02-07,9850.0,4.467890157941051
2022-02-08,9760.0,4.427066796091844
2022-02-09,9881.0,4.481951538133556
2022-02-10,10220.5,4.635946330886956
2022-02-11,10040.0,4.554072810733823
2022-02-14,9882.0,4.4824051310429915
2022-02-15,10020.0,4.54500095254511
2022-02-16,10045.5,4.556567571735719
2022-02-17,10010.0,4.5404650234507535
2022-02-18,10015.0,4.5427329879979315
2022-02-21,9960.0,4.517785377978972
2022-02-22,10020.0,4.54500095254511
2022-02-23,10005.0,4.538197058903576
2022-02-24,9983.0,4.528218014895991
2022-02-25,9920.0,4.499641661601546
2022-02-28,9974.0,4.524135678711071
2022-03-01,9976.0,4.525042864529942
2022-03-02,10257.5,4.652729268536074
2022-03-03,10470.0,4.7491177617911475
2022-03-04,10466.0,4.747303390153405
2022-03-07,10730.0,4.867051918244414
2022-03-08,10171.0,4.613493481869892
2022-03-09,10052.0,4.559515925647051
2022-03-10,10144.0,4.601246473315129
2022-03-11,10145.0,4.601700066224565
2022-03-14,9880.0,4.48149794522412
2022-03-15,9826.0,4.457003928114596
2022-03-16,10100.5,4.581515181754679
2022-03-17,10166.0,4.611225517322714
2022-03-18,10249.0,4.648873728805872
2022-03-21,10173.0,4.614400667688763
2022-03-22,10342.0,4.691057869383386
2022-03-23,10311.0,4.6769964891908815
2022-03-24,10421.0,4.726891709228801
2022-03-25,10280.0,4.662935108998377
2022-03-28,10227.0,4.638894684798287
2022-03-29,10350.0,4.694686612658871
2022-03-30,10390.5,4.713057125491015
2022-03-31,10337.0,4.688789904836208
2022-04-01,10247.0,4.6479665429870005
2022-04-04,10301.5,4.672687356551243
2022-04-05,10426.0,4.72915967377598
2022-04-06,10350.5,4.694913409113589
2022-04-07,10292.0,4.668378223911604
2022-04-08,10390.0,4.712830329036297
2022-04-11,10235.5,4.64275022452849
